point_id,x_m,y_m,z_m,r_m,radial_fraction,inside_aperture,normal_x,normal_y,normal_z,zone
0,-27.0,-27.0,,38.18376618407357,,False,,,,outside
1,-26.82,-27.0,,38.056699804370844,,False,,,,outside
2,-26.64,-27.0,,37.93006195618457,,False,,,,outside
3,-26.46,-27.0,,37.803856946084224,,False,,,,outside
4,-26.28,-27.0,,37.67808912352111,,False,,,,outside
5,-26.1,-27.0,,37.55276288104512,,False,,,,outside
6,-25.92,-27.0,,37.42788265451307,,False,,,,outside
7,-25.74,-27.0,,37.30345292328848,,False,,,,outside
8,-25.56,-27.0,,37.179478210432165,,False,,,,outside
9,-25.38,-27.0,,37.05596308288317,,False,,,,outside
10,-25.2,-27.0,,36.93291215162974,,False,,,,outside
11,-25.02,-27.0,,36.81033007186977,,False,,,,outside
12,-24.84,-27.0,,36.68822154316014,,False,,,,outside
13,-24.66,-27.0,,36.56659130955468,,False,,,,outside
14,-24.48,-27.0,,36.44544415973003,,False,,,,outside
15,-24.3,-27.0,,36.32478492709902,,False,,,,outside
16,-24.12,-27.0,,36.20461848991093,,False,,,,outside
17,-23.94,-27.0,,36.08494977133819,,False,,,,outside
18,-23.76,-27.0,,35.965783739548904,,False,,,,outside
19,-23.58,-27.0,,35.847125407764565,,False,,,,outside
20,-23.4,-27.0,,35.72897983430257,,False,,,,outside
21,-23.22,-27.0,,35.6113521226027,,False,,,,outside
22,-23.04,-27.0,,35.49424742123715,,False,,,,outside
23,-22.86,-27.0,,35.3776709239034,,False,,,,outside
24,-22.68,-27.0,,35.261627869399334,,False,,,,outside
25,-22.5,-27.0,,35.14612354157995,,False,,,,outside
26,-22.32,-27.0,,35.03116326929496,,False,,,,outside
27,-22.14,-27.0,,34.91675242630677,,False,,,,outside
28,-21.96,-27.0,,34.802896431188024,,False,,,,outside
29,-21.78,-27.0,,34.689600747198,,False,,,,outside
30,-21.6,-27.0,,34.576870882137385,,False,,,,outside
31,-21.42,-27.0,,34.464712388180466,,False,,,,outside
32,-21.240000000000002,-27.0,,34.35313086168421,,False,,,,outside
33,-21.060000000000002,-27.0,,34.24213194297341,,False,,,,outside
34,-20.88,-27.0,,34.13172131610124,,False,,,,outside
35,-20.7,-27.0,,34.02190470858444,,False,,,,outside
36,-20.52,-27.0,,33.91268789111238,,False,,,,outside
37,-20.34,-27.0,,33.80407667722933,,False,,,,outside
38,-20.16,-27.0,,33.69607692298912,,False,,,,outside
39,-19.98,-27.0,,33.588694526581406,,False,,,,outside
40,-19.8,-27.0,,33.481935427928896,,False,,,,outside
41,-19.62,-27.0,,33.375805608254616,,False,,,,outside
