equivalent_panel_id,panel_ix,panel_iy,panel_center_x_m,panel_center_y_m,panel_center_radius_m,panel_grid_point_count,equivalent_cell_size_m,panel_visible_fraction,panel_q_abs_mean_W_m2,panel_q_abs_max_W_m2,panel_temperature_grid_mean_C,panel_temperature_grid_min_C,panel_temperature_grid_max_C,panel_temperature_five_point_mean_C,panel_delta_rms_C,panel_delta_peak_to_peak_C,panel_delta_max_abs_from_mean_C,panel_temperature_gradient_C_per_m,T_center_C,T_upper_right_C,T_upper_left_C,T_lower_right_C,T_lower_left_C
P_0000_0029,0,29,-26.6085,-3.9014999999999986,26.89300977019865,12,0.783,0.0,0.0,0.0,16.34824681022869,16.346646924488766,16.34973021010103,16.347955444130584,0.0011958280634884594,0.003083285612262898,0.0017747659704454577,0.003937784945418772,16.346940668907337,16.34973021010103,16.347485465621446,16.348973951534333,16.346646924488766
P_0000_0030,0,30,-26.6085,-3.1184999999999974,26.79061989764328,14,0.783,0.0,0.0,0.0,16.348844955539672,16.346466489435272,16.350703620758225,16.348682405728162,0.0014348739002911237,0.0038555505137765067,0.002021215030062251,0.004924074730238195,16.348189196752116,16.350703620758225,16.346848070244448,16.349965624585593,16.347705516300437
P_0000_0031,0,31,-26.6085,-2.3354999999999997,26.710799922503256,20,0.783,0.0,0.0,0.0,16.34955943767253,16.347147868218883,16.351841501006618,16.349394709865372,0.0017598527612933835,0.004693632787734714,0.0024467911412457966,0.005994422461985586,16.34901170563677,16.351841501006618,16.348022188449477,16.35095028601512,16.347147868218883
P_0000_0032,0,32,-26.6085,-1.5524999999999984,26.653752615719984,16,0.783,0.0,0.0,0.0,16.350475630620924,16.348218611766754,16.352733841933514,16.350300937584553,0.0017941077004780827,0.00451523016675992,0.002432904348960818,0.005766577479897727,16.349794585407096,16.352733841933514,16.34870992018938,16.35204772862602,16.348218611766754
P_0000_0033,0,33,-26.6085,-0.7695000000000007,26.619624386906736,16,0.783,0.0,0.0,0.0,16.351176631024977,16.348849994626562,16.353527286491726,16.351043350772635,0.0018915882767517273,0.004677291865164079,0.0024839357190913347,0.005973552829072898,16.350610872654045,16.353527286491726,16.349282268620755,16.352946331470093,16.348849994626562
P_0000_0034,0,34,-26.6085,0.013500000000000512,26.60850342465731,21,0.783,0.0,0.0,0.0,16.3516211022825,16.347023844719956,16.354315798516154,16.35167917744253,0.0020011646595837693,0.004910132937936851,0.002636621073623502,0.006270923292384228,16.351179309173972,16.354315798516154,16.349792633279947,16.353702480664367,16.349405665578217
P_0000_0035,0,35,-26.6085,0.7965000000000018,26.62041856357634,16,0.783,0.0,0.0,0.0,16.35235765877096,16.349860575890318,16.354898776232005,16.35216209379022,0.002154309270737546,0.005038200341687116,0.0027366824417853763,0.006434483195002702,16.35158137656174,16.354898776232005,16.349990877993662,16.354478862273368,16.349860575890318
P_0000_0036,0,36,-26.6085,1.5794999999999995,26.65533891174524,16,0.783,0.0,0.0,0.0,16.352626066907423,16.349962442379137,16.35530155112707,16.352426472559795,0.0023335427885479167,0.0053391087479326416,0.002875078567274869,0.00681878511868792,16.3518454345853,16.35530155112707,16.349962442379137,16.355015218027518,16.350007716679954
P_0000_0037,0,37,-26.6085,2.3625000000000007,26.71317424979667,20,0.783,0.0,0.0,0.0,16.352649452530514,16.349366345472333,16.355493109450947,16.352392817927022,0.00261230523082409,0.006126763978613781,0.0031002915239248807,0.007824730496313896,16.351829646905173,16.355493109450947,16.349366345472333,16.355368103338606,16.349906884468055
P_0000_0038,0,38,-26.6085,3.145500000000002,26.793776189630307,14,0.783,0.0,0.0,0.0,16.352806807707776,16.348583407982858,16.355487980979092,16.352540989434193,0.0025098102915962744,0.006428994749285266,0.003482003204386075,0.008210721263455002,16.35154308174026,16.355370928257912,16.35124396996389,16.355487980979092,16.349058986229807
