equivalent_panel_id,panel_ix,panel_iy,panel_center_x_m,panel_center_y_m,panel_center_radius_m,panel_grid_point_count,equivalent_cell_size_m,panel_visible_fraction,panel_q_abs_mean_W_m2,panel_q_abs_max_W_m2,panel_temperature_grid_mean_C,panel_temperature_grid_min_C,panel_temperature_grid_max_C,panel_temperature_five_point_mean_C,panel_delta_rms_C,panel_delta_peak_to_peak_C,panel_delta_max_abs_from_mean_C,panel_temperature_gradient_C_per_m,T_center_C,T_upper_right_C,T_upper_left_C,T_lower_right_C,T_lower_left_C
P_0000_0029,0,29,-26.6085,-3.9014999999999986,26.89300977019865,12,0.783,0.08333333333333333,18.795217887279833,225.542614647358,22.38169349265897,19.49665972715576,25.16314522756494,22.019923838538226,2.598642132098417,5.6664855004091805,3.1432213890267136,7.236890805120281,19.49665972715576,25.16314522756494,19.504371861798237,25.13490378284581,20.800538593326397
P_0000_0030,0,30,-26.6085,-3.1184999999999974,26.79061989764328,14,0.783,0.14285714285714285,32.45003939046996,227.8498683663769,24.346160440933108,18.659417095122308,28.593557720158685,23.946067013997208,3.8748577771641375,9.085915663926698,4.647490706161477,11.603979136560278,22.219068808957275,28.593557720158685,20.85540691467378,28.554659569964315,19.507642056231987
P_0000_0031,0,31,-26.6085,-2.3354999999999997,26.710799922503256,20,0.783,0.05,11.438468175062425,228.7693635012485,23.86061912230766,17.107187121495713,28.64954020238912,23.982372724341282,3.8873663963723213,9.104483552459953,4.667167478047837,11.627692915019097,22.239838068853143,28.64954020238912,19.545056649929165,28.60558187774018,20.871846822794797
P_0000_0032,0,32,-26.6085,-1.5524999999999984,26.653752615719984,16,0.783,0.0,0.0,0.0,24.94440594290881,19.547453394853164,28.728528212385413,24.352141776328914,4.10808014801824,9.140097378947019,4.804688381475749,11.673176729178822,25.31240208220794,28.687550773800183,19.553730280144293,28.659572350639,19.547453394853164
P_0000_0033,0,33,-26.6085,-0.7695000000000007,26.619624386906736,16,0.783,0.0,0.0,0.0,25.93135075110944,19.55557152047743,28.76215879912263,24.92289745810989,3.592210037209403,9.164608150805062,5.367325937632462,11.70448039694133,25.34234823571427,28.72017967128249,22.300190350366165,28.69619751270909,19.55557152047743
P_0000_0034,0,34,-26.6085,0.013500000000000512,26.60850342465731,21,0.783,0.047619047619047616,10.959202854489613,230.14325994428188,25.28372112141158,19.56190763841704,28.7958966591832,24.394240612324666,4.1321707206139395,9.191889931249136,4.832332973907626,11.739323028415244,25.361202499914725,28.753797569666176,19.56676175656185,28.72753359706354,19.56190763841704
P_0000_0035,0,35,-26.6085,0.7965000000000018,26.62041856357634,16,0.783,0.0,0.0,0.0,24.210030977032904,19.567749226118167,28.801553361076916,23.793123732311052,4.181433399391041,9.207240457893818,4.981865951700932,11.758927787859282,22.293170187166425,28.774989684011985,19.570133914382158,28.759575649876524,19.567749226118167
P_0000_0036,0,36,-26.6085,1.5794999999999995,26.65533891174524,16,0.783,0.0,0.0,0.0,24.00285375875636,19.57071975920365,28.79089349914375,23.802649571961684,4.188507536741427,9.220173739940098,4.988243927182065,11.775445389450955,22.300435310246087,28.79089349914375,19.57172419624129,28.779475094973638,19.57071975920365
P_0000_0037,0,37,-26.6085,2.3625000000000007,26.71317424979667,20,0.783,0.0,0.0,0.0,22.290799886618522,17.11899413193146,28.793993783299527,22.132795308215112,4.580119525074817,11.674999651368068,6.661198475084415,14.910599810176333,22.303020379375823,25.32866771916133,17.11899413193146,28.793993783299527,17.119300527307416
P_0000_0038,0,38,-26.6085,3.145500000000002,26.793776189630307,14,0.783,0.07142857142857142,16.643863061117493,233.0140828556449,21.59622398758213,14.931833834213649,25.330489939579536,20.940070742491276,3.961900255668467,10.398656105365887,6.0082369082776275,13.280531424477505,19.554721366487684,25.330489939579536,19.553759071854245,25.329549500321264,14.931833834213649
P_0000_0039,0,39,-26.6085,3.9284999999999997,26.89694005830403,12,0.783,0.0,0.0,0.0,21.721236393514655,17.107680794277258,25.33017508137192,20.269207939386774,3.163062939531551,8.222494287094662,5.060967141985145,10.501269843032773,17.108275902110847,22.24699164788637,17.107680794277258,25.33017508137192,19.552916271287472
P_0001_0024,1,24,-25.825499999999998,-7.816499999999998,26.982478064477323,8,0.783,0.125,26.565979379483416,212.52783503586733,21.7877601476413,19.31623576190765,24.768582177193537,21.672887002699703,1.8202787806494392,5.445734589425513,3.0956951744938337,6.954961161462979,19.322847587768024,24.768582177193537,21.912037916742804,21.85832770379216,20.502639628001987
P_0001_0025,1,25,-25.825499999999998,-7.0335,26.766146015069108,17,0.783,0.058823529411764705,12.771424908833799,217.1142234501746,23.054837347435733,17.022252473293065,28.096352511107625,22.82645039995424,4.029942750043901,11.07410003781456,5.804197926661175,14.143167353530728,24.844286572575243,28.096352511107625,19.385652415406128,24.78370802738914,17.022252473293065
P_0001_0026,1,26,-25.825499999999998,-6.250499999999999,26.571134723605613,16,0.783,0.125,27.972034963196442,224.0436346184102,25.56830603895739,19.39163625856162,31.856202001469853,25.915981864056505,4.534550898735195,12.464565742908235,6.5243456054948865,15.918985623126735,28.175546703050827,31.856202001469853,22.04113552658117,28.11538883061905,19.39163625856162
P_0001_0027,1,27,-25.825499999999998,-5.467499999999998,26.39791670757372,16,0.783,0.375,84.56193958759417,226.16257300380332,28.446509084616103,22.04915743721375,32.003188538375014,28.57971818769183,4.219287033293572,9.929975540438306,6.530560750478081,12.681961098899496,31.979132977652057,31.951055905308465,25.038152838988022,31.881091779296867,22.04915743721375
P_0001_0028,1,28,-25.825499999999998,-4.6845,26.246923448282466,20,0.783,0.55,125.14114879755293,228.549210769304,30.071876794639376,25.04956010113068,32.16341214984146,29.918419456948993,2.803403082925328,7.021127157158283,4.868859355818312,8.966956777979927,32.07068725828896,32.05456621411355,28.44431265420343,31.97297105700835,25.04956010113068
P_0001_0029,1,29,-25.825499999999998,-3.9014999999999986,26.118540397579647,16,0.783,0.75,172.0230073761386,230.19707441349172,31.23898718788735,28.45924918465664,32.24346922205655,30.662563632603234,1.782218938104203,3.6921541160689344,2.2033144479465925,4.7153947842515125,32.151403300725576,32.127672571296955,28.500907618320127,32.073585488016874,28.45924918465664
P_0001_0030,1,30,-25.825499999999998,-3.1184999999999974,26.01310232363683,16,0.783,0.875,202.0667028186846,231.78655760186592,31.781854692872106,28.513849888781863,32.36559651634025,31.49152371904297,1.490645707763407,3.8517466275583843,2.977673830261107,4.919216638005599,32.23997084249953,32.19343460210234,32.36559651634025,32.14476674549087,28.513849888781863
P_0001_0031,1,31,-25.825499999999998,-2.3354999999999997,25.93088911896389,20,0.783,1.0,232.39516826875223,233.42054966944485,32.3289955755672,32.20882254356002,32.44568741744257,32.32120329929884,0.08397662708930255,0.23686487388255273,0.12448411814373372,0.30250941747452453,32.30237766484089,32.266436814642475,32.44568741744257,32.20882254356002,32.38269205600824
P_0001_0032,1,32,-25.825499999999998,-1.5524999999999984,25.87212218779124,16,0.783,1.0,233.6797536182724,234.53577456784095,32.39235473380806,32.27989094227274,32.5007549062567,32.383388130258695,0.08401261042726997,0.2208639639839589,0.11736677599800771,0.2820740280765759,32.3580649544387,32.31806174001724,32.5007549062567,32.27989094227274,32.460168108308096
P_0001_0033,1,33,-25.825499999999998,-0.7695000000000007,25.836961518336476,16,0.783,1.0,234.66879490753246,235.494790093603,32.44150541666371,32.330068435219005,32.548494918280824,32.434958988740355,0.08406595067476987,0.218426483061819,0.11353592954046832,0.27896102562173564,32.41889078808276,32.36398021239853,32.548494918280824,32.330068435219005,32.51336058972066
P_0001_0034,1,34,-25.825499999999998,0.013500000000000512,25.82550352848904,20,0.783,1.0,235.61799837649633,236.483172129324,32.48913180571854,32.37458818641346,32.59830144907801,32.48132018437002,0.08505530077415785,0.22371326266454616,0.11698126470798798,0.2857129791373514,32.46081813545186,32.41356725229684,32.59830144907801,32.37458818641346,32.55932589860993
P_0001_0035,1,35,-25.825499999999998,0.7965000000000018,25.837779751751114,16,0.783,1.0,236.40616543103192,237.10632046714375,32.52920439882123,32.42244882520197,32.630287467778885,32.52070937923152,0.08378903873991612,0.20783864257691675,0.10957808854736584,0.26543887940857824,32.49684652925595,32.44700581231211,32.630287467778885,32.42244882520197,32.60695826160867
P_0001_0036,1,36,-25.825499999999998,1.5794999999999995,25.873756404897993,16,0.783,0.8125,192.4358845927356,237.35951329114687,31.82507765879918,28.736424275014087,32.63716970558636,31.7688505000334,1.5135864576643348,3.8928288119210492,3.0245096063680883,4.971684306412579,32.533465960297804,32.474787175195274,28.74434089366531,32.45448876542224,32.63716970558636
