equivalent_panel_id,panel_ix,panel_iy,panel_center_x_m,panel_center_y_m,panel_center_radius_m,panel_grid_point_count,equivalent_cell_size_m,panel_visible_fraction,panel_q_abs_mean_W_m2,panel_q_abs_max_W_m2,panel_temperature_grid_mean_C,panel_temperature_grid_min_C,panel_temperature_grid_max_C,panel_temperature_five_point_mean_C,panel_delta_rms_C,panel_delta_peak_to_peak_C,panel_delta_max_abs_from_mean_C,panel_temperature_gradient_C_per_m,T_center_C,T_upper_right_C,T_upper_left_C,T_lower_right_C,T_lower_left_C
P_0000_0029,0,29,-26.6085,-3.9014999999999986,26.89300977019865,12,0.783,1.0,34.219175758226825,47.60060675875747,41.384319733195944,39.19913376939724,42.97577039855025,40.942990513270374,1.5152033995170138,3.7766366291530105,2.0327798852798793,4.823290714116233,39.71152544708315,42.97577039855025,40.33137702772416,42.49714592359709,39.19913376939724
P_0000_0030,0,30,-26.6085,-3.1184999999999974,26.79061989764328,14,0.783,1.0,36.504291031701776,51.71605161302103,41.63267510032829,38.27458976393564,43.421916042150144,41.40992229423887,1.657564560957477,4.493993761936224,2.4820000140249476,5.739455634656736,40.99757445447443,43.421916042150144,38.92792228021392,43.06967501828302,40.63252367607282
P_0000_0031,0,31,-26.6085,-2.3354999999999997,26.710799922503256,20,0.783,1.0,39.4626519951692,55.37269230593338,41.96033630165565,39.33851549714268,43.79775196142583,41.705869588191646,1.7493200443885801,4.459236464283151,2.3673540910489663,5.695065727053833,41.58181233062015,43.79775196142583,40.28930120045328,43.5219669513163,39.33851549714268
P_0000_0032,0,32,-26.6085,-1.5524999999999984,26.653752615719984,16,0.783,1.0,43.40096875425483,57.30484492041232,42.38193565336286,40.37003948679336,43.968261798351534,42.1731015564785,1.4980782937620467,3.5237502654896957,1.80306206968514,4.500319623869343,42.03016419024237,43.893789752283055,40.710387615329296,43.86112673774443,40.37003948679336
P_0000_0033,0,33,-26.6085,-0.7695000000000007,26.619624386906736,16,0.783,1.0,45.368942933084014,58.448088669218,42.57303887194129,40.79129549014135,44.074084470116645,42.38430246443373,1.413418299005174,3.282788979975294,1.6897820056829147,4.1925785184869655,42.21369833918664,44.074084470116645,40.9106060657777,43.931827956946336,40.79129549014135
P_0000_0034,0,34,-26.6085,0.013500000000000512,26.60850342465731,21,0.783,1.0,44.24469613600828,58.84293449431699,42.36655304939035,37.66426046779554,44.09673593557045,42.42916330022835,1.3830529524684034,3.1500178697987664,1.6591439278706233,4.023011327967773,42.224760908391886,43.95492319709683,40.93828935830021,44.08830722809898,40.93953580925387
P_0000_0035,0,35,-26.6085,0.7965000000000018,26.62041856357634,16,0.783,1.0,45.84176059030331,58.76330044069752,42.48005630109701,40.65499137128609,43.9404344481581,42.30484378588128,1.399419262647393,3.2854430768720135,1.6498524145951947,4.195968169696058,42.15826753654534,43.86179293042591,40.65499137128609,43.9404344481581,40.90873264299097
P_0000_0036,0,36,-26.6085,1.5794999999999995,26.65533891174524,16,0.783,1.0,44.29406877344681,58.04033905386452,42.24073250265823,40.23198128179905,43.85069718667705,42.02100428188747,1.4861728047000948,3.5916387991296688,1.8026157990412486,4.587022731966371,41.88034478920128,43.59544181965134,40.23198128179905,43.82362008092872,40.57363343785698
P_0000_0037,0,37,-26.6085,2.3625000000000007,26.71317424979667,20,0.783,1.0,40.828569671580446,56.52846880135829,41.72514641456843,39.17820948025201,43.53201593038472,41.46389333381128,1.7076756188506361,4.353806450132716,2.28568385355927,5.560416922264005,41.36075123797764,43.20810654631208,39.17820948025201,43.53201593038472,40.04038347412995
P_0000_0038,0,38,-26.6085,3.145500000000002,26.793776189630307,14,0.783,1.0,38.328016280976115,53.39718106091178,41.3708472134737,38.23953952033753,43.10814710180563,41.160946514844476,1.5728070610312317,4.303586841534695,2.3563862545735432,5.496279491104336,40.79825864883816,42.68596780122312,40.40779876208455,43.10814710180563,38.80456026027093
