equivalent_panel_id,panel_ix,panel_iy,panel_center_x_m,panel_center_y_m,panel_center_radius_m,panel_grid_point_count,equivalent_cell_size_m,panel_visible_fraction,panel_q_abs_mean_W_m2,panel_q_abs_max_W_m2,panel_temperature_grid_mean_C,panel_temperature_grid_min_C,panel_temperature_grid_max_C,panel_temperature_five_point_mean_C,panel_delta_rms_C,panel_delta_peak_to_peak_C,panel_delta_max_abs_from_mean_C,panel_temperature_gradient_C_per_m,T_center_C,T_upper_right_C,T_upper_left_C,T_lower_right_C,T_lower_left_C
P_0000_0029,0,29,-26.6085,-3.9014999999999986,26.89300977019865,12,0.783,0.0,0.0,0.0,30.407597864988308,30.407534613299163,30.407659778116567,30.40758690731341,5.13071422895611e-05,0.00012516481740476593,7.287080315876437e-05,0.00015985289579152737,30.407543668172423,30.407659778116567,30.407559567557485,30.4076369094214,30.407534613299163
P_0000_0030,0,30,-26.6085,-3.1184999999999974,26.79061989764328,14,0.783,0.0,0.0,0.0,30.407612125643563,30.40751909688987,30.40768894572676,30.407606366210995,6.133710077911368e-05,0.00015886385841668016,8.257951576595701e-05,0.00020289126234569624,30.407579138204994,30.40768894572676,30.407530081868344,30.40766788194793,30.40756578330695
P_0000_0031,0,31,-26.6085,-2.3354999999999997,26.710799922503256,20,0.783,0.0,0.0,0.0,30.407625547904548,30.407537071497305,30.40771476312608,30.40762082618137,7.176240734505597e-05,0.0001776916287745678,9.393694471171443e-05,0.00022693694607224494,30.407599338606417,30.40771476312608,30.40755797848118,30.407694979195867,30.407537071497305
P_0000_0032,0,32,-26.6085,-1.5524999999999984,26.653752615719984,16,0.783,0.0,0.0,0.0,30.407644323109174,30.40756160402435,30.40773089975357,30.40763943536524,7.216851050592016e-05,0.00016929572921853264,9.146438832985382e-05,0.00021621421356134436,30.407615538658263,30.40773089975357,30.407570424448807,30.407718709941207,30.40756160402435
P_0000_0033,0,33,-26.6085,-0.7695000000000007,26.619624386906736,16,0.783,0.0,0.0,0.0,30.40765558385656,30.40757312500216,30.407741530990336,30.407651202584724,7.338624289610195e-05,0.00016840598817680075,9.032840561218336e-05,0.00021507789039182726,30.40762840709857,30.407741530990336,30.407578702349383,30.407734247483177,30.40757312500216
P_0000_0034,0,34,-26.6085,0.013500000000000512,26.60850342465731,21,0.783,0.0,0.0,0.0,30.40765359476801,30.407512661951785,30.407744918108733,30.407656034599505,7.41792560167521e-05,0.00016487038794466002,8.862752426708198e-05,0.00021056243671093233,30.40763214198347,30.407744662123772,30.407580523811877,30.407743053342585,30.407579791735827
P_0000_0035,0,35,-26.6085,0.7965000000000018,26.62041856357634,16,0.783,0.0,0.0,0.0,30.407658177054554,30.40757530121425,30.4077439601424,30.40765371312648,7.429632877088802e-05,0.00016865892814976746,9.024701592252882e-05,0.00021540092994861744,30.407630360319672,30.407739143453966,30.40757530121425,30.4077439601424,30.407579800502106
P_0000_0036,0,36,-26.6085,1.5794999999999995,26.65533891174524,16,0.783,0.0,0.0,0.0,30.407649049238874,30.40756423670581,30.40773661647006,30.407643976479825,7.390341583415193e-05,0.00017237976425121815,9.263999023545466e-05,0.00022015295562096825,30.40761994013849,30.40772612202818,30.40756423670581,30.40773661647006,30.40757296705658
P_0000_0037,0,37,-26.6085,2.3625000000000007,26.71317424979667,20,0.783,0.0,0.0,0.0,30.40763150771918,30.40753986133632,30.40772176014269,30.407626215664617,7.413859395316993e-05,0.00018189880636754197,9.554447807147426e-05,0.00023231009753198206,30.40760404592055,30.407704542450062,30.40753986133632,30.40772176014269,30.407560868473468
P_0000_0038,0,38,-26.6085,3.145500000000002,26.793776189630307,14,0.783,0.0,0.0,0.0,30.40761993349378,30.407521710762182,30.40769915461351,30.407613933754135,6.440308871319895e-05,0.00016609278947044004,8.522085937556767e-05,0.00021212361362763732,30.40758532540121,30.407680022837496,30.407572104094413,30.40769915461351,30.40753306182404
P_0000_0039,0,39,-26.6085,3.9284999999999997,26.89694005830403,12,0.783,0.0,0.0,0.0,30.407606607021975,30.40753892274381,30.407672555797603,30.40759478338084,5.469986528711765e-05,0.00013363305379243684,7.77724167626559e-05,0.00017066801250630503,30.407549491478903,30.40764810723408,30.40753892274381,30.407672555797603,30.407564839649808
P_0001_0024,1,24,-25.825499999999998,-7.816499999999998,26.982478064477323,8,0.783,0.0,0.0,0.0,30.40757176662087,30.407520627341228,30.407619200899887,30.4075682431505,3.1776030630969226e-05,9.857355865960926e-05,5.095774938723707e-05,0.00012589215665339624,30.40755635584441,30.407619200899887,30.407570671462054,30.407574360204933,30.407520627341228
P_0001_0025,1,25,-25.825499999999998,-7.0335,26.766146015069108,17,0.783,0.0,0.0,0.0,30.407603097928433,30.407523473232857,30.40769254359128,30.407602549202647,5.9476687091052535e-05,0.00015770551607374728,8.999438863455111e-05,0.00020141189792304888,30.407612182724108,30.40769254359128,30.407539678928345,30.407633502694296,30.407534838075208
P_0001_0026,1,26,-25.825499999999998,-6.250499999999999,26.571134723605613,16,0.783,0.0,0.0,0.0,30.407648150495675,30.407553925756304,30.407751801375586,30.407653312680658,7.29477491743258e-05,0.00019787561928197306,9.938692435440544e-05,0.00025271471172665777,30.407665714989548,30.407751801375586,30.40758921212938,30.40770590915247,30.407553925756304
P_0001_0027,1,27,-25.825499999999998,-5.467499999999998,26.39791670757372,16,0.783,0.0,0.0,0.0,30.40769820677448,30.407599248389204,30.407805512444558,30.40770665060063,7.865496027915605e-05,0.0002062640553539552,0.00010740221142668815,0.0002634279123294447,30.40773017911169,30.407805512444558,30.407632230444165,30.40776608261353,30.407599248389204
P_0001_0028,1,28,-25.825499999999998,-4.6845,26.246923448282466,20,0.783,0.0,0.0,0.0,30.407751750269746,30.407641748707647,30.407875572797423,30.407760010905974,8.670125668442473e-05,0.00023382408977568048,0.00011826219832755669,0.00029862591286804657,30.40777997274836,30.407875572797423,30.407681746863886,30.40782101341256,30.407641748707647
P_0001_0029,1,29,-25.825499999999998,-3.9014999999999986,26.118540397579647,16,0.783,0.0,0.0,0.0,30.407800417414467,30.40769081476475,30.407919609392422,30.40780750018083,9.108687772360166e-05,0.00022879462767377845,0.00011668541608145233,0.0002922025896216838,30.40782484416866,30.407919609392422,30.4077147513288,30.40788748124953,30.40769081476475
P_0001_0030,1,30,-25.825499999999998,-3.1184999999999974,26.01310232363683,16,0.783,0.0,0.0,0.0,30.407838196516803,30.407722924831603,30.407963976148665,30.407848199591502,9.665312074996489e-05,0.00024105131706164684,0.00012527475989898562,0.00030785608820133693,30.40787646331933,30.407963976148665,30.407747613097342,30.40793002056057,30.407722924831603
P_0001_0031,1,31,-25.825499999999998,-2.3354999999999997,25.93088911896389,20,0.783,0.0,0.0,0.0,30.407874493134692,30.407754756925957,30.40800717507966,30.40788430955852,0.00010164839946509226,0.00025241815370335985,0.00012955263256131389,0.000322373120949374,30.407907322383608,30.40800717507966,30.407778373213205,30.40797392019016,30.407754756925957
P_0001_0032,1,32,-25.825499999999998,-1.5524999999999984,25.87212218779124,16,0.783,0.0,0.0,0.0,30.407901013957968,30.40778311954421,30.40803044829272,30.407910419762413,0.00010495252985928504,0.00024732874851096653,0.0001273002182031746,0.00031587324203188573,30.40792991969937,30.40803044829272,30.40779474295857,30.4080138683172,30.40778311954421
P_0001_0033,1,33,-25.825499999999998,-0.7695000000000007,25.836961518336476,16,0.783,0.0,0.0,0.0,30.40791650681184,30.407797771953824,30.40804426653756,30.407926653288165,0.00010745519611390573,0.0002464945837346022,0.0001288813343407469,0.0003148078974899134,30.407952062596905,30.40804426653756,30.40780437807348,30.408034787279064,30.407797771953824
