equivalent_panel_id,panel_ix,panel_iy,panel_center_x_m,panel_center_y_m,panel_center_radius_m,panel_grid_point_count,equivalent_cell_size_m,panel_visible_fraction,panel_q_abs_mean_W_m2,panel_q_abs_max_W_m2,panel_temperature_grid_mean_C,panel_temperature_grid_min_C,panel_temperature_grid_max_C,panel_temperature_five_point_mean_C,panel_delta_rms_C,panel_delta_peak_to_peak_C,panel_delta_max_abs_from_mean_C,panel_temperature_gradient_C_per_m,T_center_C,T_upper_right_C,T_upper_left_C,T_lower_right_C,T_lower_left_C
P_0000_0029,0,29,-26.6085,-3.9014999999999986,26.89300977019865,12,0.783,1.0,71.07277004154503,83.97799619428024,45.43145465528425,43.46060656185352,46.855975851596384,45.0350038579542,1.356289413621664,3.3953692897428667,1.820971993642182,4.336359246159472,43.956134634975626,46.855975851596384,44.47836565329413,46.42393658805133,43.46060656185352
P_0000_0030,0,30,-26.6085,-3.1184999999999974,26.79061989764328,14,0.783,1.0,73.34987547837031,87.98642158751917,45.6338942597885,42.6218260681527,47.221923965557664,45.43460362867829,1.4768016205977854,4.016491622748674,2.229171285869299,5.129618930713504,45.0581650482481,47.221923965557664,43.20543234280899,46.90781879585683,44.77967799091988
P_0000_0031,0,31,-26.6085,-2.3354999999999997,26.710799922503256,20,0.783,1.0,76.26942902625862,91.5323284131412,45.90611946601417,43.58363014114411,47.51352824493836,45.68260013102319,1.5452117579188573,3.929898103794244,2.0989699898790803,5.01902695248307,45.553160809302994,47.51352824493836,44.4522371790244,47.31044428070612,43.58363014114411
P_0000_0032,0,32,-26.6085,-1.5524999999999984,26.653752615719984,16,0.783,1.0,80.0980595193506,93.3912756595784,46.24650237838918,44.47093504454711,47.65819168415777,46.05895749375603,1.305827226939089,3.0969069778345144,1.5880224492089212,3.95518132545915,45.98415244485085,47.49790014172123,44.77395781527935,47.567842022381626,44.47093504454711
P_0000_0033,0,33,-26.6085,-0.7695000000000007,26.619624386906736,16,0.783,1.0,81.99227353784521,94.47353239446504,46.3847383928493,44.83244926058956,47.69379384118105,46.208634783937896,1.2257864563773897,2.8491727235970075,1.485159057243152,3.63879019616476,46.06490188958708,47.69379384118105,44.91118539178882,47.528671679548495,44.84462111758404
P_0000_0034,0,34,-26.6085,0.013500000000000512,26.60850342465731,21,0.783,1.0,80.86683435058038,94.81898213997768,46.145921637376375,41.98416173016199,47.70543535451191,46.20582282039767,1.1954234321101058,2.7891911596447017,1.496490254913212,3.5621853890736928,46.01747047450783,47.46282393960911,44.91312191566618,47.70231307531088,44.933384696894336
P_0000_0035,0,35,-26.6085,0.7965000000000018,26.62041856357634,16,0.783,1.0,82.36038646310357,94.71894101130393,46.18978080024901,44.56500327231362,47.44473988614613,46.03701019917297,1.2033138473459892,2.879736613832513,1.4720069268593505,3.6778245387388417,45.93675148561948,47.35777039672729,44.56500327231362,47.44473988614613,44.88078595505834
P_0000_0036,0,36,-26.6085,1.5794999999999995,26.65533891174524,16,0.783,1.0,80.79338393372747,93.96389576553582,45.935385116586474,44.152199186161454,47.39019824670288,45.728976102953325,1.2863084328173746,3.165457975944669,1.5886810591527976,4.0427304929050685,45.654384766954536,47.03611068169636,44.152199186161454,47.31765716210612,44.48452871784815
P_0000_0037,0,37,-26.6085,2.3625000000000007,26.71317424979667,20,0.783,1.0,77.3328663658938,92.43216000821712,45.398691560963314,43.183232967950914,46.97263404955237,45.16409375750108,1.4776005521325428,3.7894010816014543,1.9808607895501638,4.839592696809009,45.06947178502787,46.65353457989488,43.183232967950914,46.97263404955237,43.94159540507934
P_0000_0038,0,38,-26.6085,3.145500000000002,26.793776189630307,14,0.783,1.0,74.76973961865245,89.29526754399325,45.042825936217824,42.40982308193463,46.55613476102246,44.86452527439906,1.3338407373970707,3.699158492237018,2.007549005613612,4.72434034768457,44.57433404400996,46.09924286576052,44.2359384324169,46.55613476102246,42.856976268785445
P_0000_0039,0,39,-26.6085,3.9284999999999997,26.89694005830403,12,0.783,1.0,72.83153179555708,85.61405363987285,44.79951696779856,43.472713457984014,45.96833902019057,44.54125506720978,1.0081121252700818,2.4956255622065555,1.4270839529807873,3.1872612544145023,43.681086173081496,45.51227504246077,43.472713457984014,45.96833902019057,44.07186164233207
P_0001_0024,1,24,-25.825499999999998,-7.816499999999998,26.982478064477323,8,0.783,1.0,63.80674233933816,75.57824637708136,44.64106128321402,42.69530256896718,45.861215832361495,44.50256932828971,1.0352043542755658,3.165913263394316,1.8072667593225304,4.043311958358002,44.31239475477366,45.861215832361495,44.876331382537614,44.76760210280861,42.69530256896718
P_0001_0025,1,25,-25.825499999999998,-7.0335,26.766146015069108,17,0.783,1.0,70.64114146282661,86.99069584439397,45.394883979891695,42.92081734367338,47.099828620978826,45.26822683340606,1.41113062499902,3.6236189390082743,1.8316017875727653,4.627865822488217,45.83231827050889,47.099828620978826,43.764318483813895,46.16845910975815,43.47620968197055
P_0001_0026,1,26,-25.825499999999998,-6.250499999999999,26.571134723605613,16,0.783,1.0,79.42095623839094,93.73577324070136,46.382158722977145,44.29325908715544,47.78028761349634,46.33413664542148,1.300864319582341,3.4870285263409,2.0408775582660397,4.453420851010089,46.81306846116479,47.78028761349634,45.399908496110754,47.3841595691801,44.29325908715544
P_0001_0027,1,27,-25.825499999999998,-5.467499999999998,26.39791670757372,16,0.783,1.0,87.13934920133818,99.13229388925984,47.22573005102956,45.75719251795448,48.46606256638768,47.27197144067408,1.016769177027407,2.708870048433198,1.5147789227196,3.459604148701402,47.67875754823541,48.46606256638768,46.42907617560519,48.028768395187626,45.75719251795448
