equivalent_panel_id,panel_ix,panel_iy,panel_center_x_m,panel_center_y_m,panel_center_radius_m,panel_grid_point_count,equivalent_cell_size_m,panel_visible_fraction,panel_q_abs_mean_W_m2,panel_q_abs_max_W_m2,panel_temperature_grid_mean_C,panel_temperature_grid_min_C,panel_temperature_grid_max_C,panel_temperature_five_point_mean_C,panel_delta_rms_C,panel_delta_peak_to_peak_C,panel_delta_max_abs_from_mean_C,panel_temperature_gradient_C_per_m,T_center_C,T_upper_right_C,T_upper_left_C,T_lower_right_C,T_lower_left_C
P_0000_0029,0,29,-26.6085,-3.9014999999999986,26.89300977019865,12,0.783,0.0,0.0,0.0,-6.724698731028734,-6.855216192904777,-6.6133488707347965,-6.747907415526856,0.08812697573463296,0.24186732216998053,0.13455854479205964,0.30889824031925994,-6.820985179384365,-6.6133488707347965,-6.76254459160333,-6.687442243007013,-6.855216192904777
P_0000_0030,0,30,-26.6085,-3.1184999999999974,26.79061989764328,14,0.783,0.0,0.0,0.0,-6.6482175512811965,-6.826373371353327,-6.514855967374558,-6.661509415720104,0.09729842333053368,0.2680112661663543,0.14665344834554617,0.342287696253326,-6.684935011758739,-6.514855967374558,-6.782867233540912,-6.58981711375435,-6.735071752171962
P_0000_0031,0,31,-26.6085,-2.3354999999999997,26.710799922503256,20,0.783,0.0,0.0,0.0,-6.558051966035532,-6.748483734744525,-6.393572023518232,-6.572183732424276,0.12203990794380046,0.3549117112262934,0.17861170890604416,0.453271661847118,-6.587053223643579,-6.393572023518232,-6.640687563819711,-6.491122116395331,-6.748483734744525
P_0000_0032,0,32,-26.6085,-1.5524999999999984,26.653752615719984,16,0.783,0.0,0.0,0.0,-6.451186780540485,-6.616480248612618,-6.299366983910147,-6.465799602050117,0.1161542306214398,0.3171132647024706,0.1664326181399698,0.40499778378348733,-6.493717962979645,-6.299366983910147,-6.549719483529714,-6.369713331218463,-6.616480248612618
P_0000_0033,0,33,-26.6085,-0.7695000000000007,26.619624386906736,16,0.783,0.0,0.0,0.0,-6.361187020706343,-6.527328838924063,-6.20430289008516,-6.371307623212806,0.11888007027900659,0.3230259488389038,0.16700473312764608,0.41254910451967275,-6.38426319511143,-6.20430289008516,-6.465870964274131,-6.274772227669246,-6.527328838924063
P_0000_0034,0,34,-26.6085,0.013500000000000512,26.60850342465731,21,0.783,0.0,0.0,0.0,-6.285182474256688,-6.633570576091415,-6.09103177510093,-6.2823594811769,0.13072640256926676,0.35610339865741025,0.1913277060759695,0.45479361258928513,-6.303859831215561,-6.09103177510093,-6.387877101319987,-6.181893524489681,-6.44713517375834
P_0000_0035,0,35,-26.6085,0.7965000000000018,26.62041856357634,16,0.783,0.0,0.0,0.0,-6.1921270227173295,-6.371371709025368,-6.00554508431992,-6.205884071247647,0.14589466733248474,0.36582662470544847,0.20033898692772745,0.46721152580517045,-6.24033716866262,-6.00554508431992,-6.343410009166007,-6.068756385064319,-6.371371709025368
P_0000_0036,0,36,-26.6085,1.5794999999999995,26.65533891174524,16,0.783,0.0,0.0,0.0,-6.137954102415751,-6.331029144462605,-5.943620768589312,-6.154260218089223,0.16273324056152424,0.38740837587329224,0.21063944949991065,0.49477442640267205,-6.19265864415479,-5.943620768589312,-6.318293616004212,-5.985698917235197,-6.331029144462605
P_0000_0037,0,37,-26.6085,2.3625000000000007,26.71317424979667,20,0.783,0.0,0.0,0.0,-6.09088646886062,-6.310757295903727,-5.874091688593808,-6.108606366651941,0.18152138226772777,0.4366656073099193,0.23451467805813309,0.5576827679564742,-6.141424828720176,-5.874091688593808,-6.292513164708907,-5.924244855333086,-6.310757295903727
P_0000_0038,0,38,-26.6085,3.145500000000002,26.793776189630307,14,0.783,0.0,0.0,0.0,-6.034786704235431,-6.32502586243919,-5.857252097244043,-6.050889806464193,0.167602035032001,0.44965197765122866,0.25601426843107866,0.5742681706912244,-6.109493070752478,-5.857252097244043,-6.105857551952681,-5.874942237476489,-6.306904074895272
P_0000_0039,0,39,-26.6085,3.9284999999999997,26.89694005830403,12,0.783,0.0,0.0,0.0,-5.970360893510057,-6.135422043621418,-5.820938588260731,-6.004540236636695,0.14011036404388907,0.314483455360687,0.18360164837596393,0.4016391511630741,-6.111393201257329,-5.820938588260731,-6.135422043621418,-5.846263530000556,-6.108683820043439
P_0001_0024,1,24,-25.825499999999998,-7.816499999999998,26.982478064477323,8,0.783,0.0,0.0,0.0,-7.026124205956869,-7.110212500442799,-6.958733060763279,-7.0295537054184365,0.049172476214174816,0.1514794396795196,0.08065879502436246,0.19346033164689602,-7.03612753772785,-6.958733060763279,-7.007376935610125,-7.035318492548129,-7.110212500442799
P_0001_0025,1,25,-25.825499999999998,-7.0335,26.766146015069108,17,0.783,0.0,0.0,0.0,-6.944105424734239,-7.0483274440820765,-6.838142975491451,-6.949754769150718,0.07097350167167565,0.21018446859062578,0.1116117936592671,0.26843482578623984,-6.929369469566325,-6.838142975491451,-6.998390861700273,-6.934543094913465,-7.0483274440820765
