equivalent_panel_id,panel_ix,panel_iy,panel_center_x_m,panel_center_y_m,panel_center_radius_m,panel_grid_point_count,equivalent_cell_size_m,panel_visible_fraction,panel_q_abs_mean_W_m2,panel_q_abs_max_W_m2,panel_temperature_grid_mean_C,panel_temperature_grid_min_C,panel_temperature_grid_max_C,panel_temperature_five_point_mean_C,panel_delta_rms_C,panel_delta_peak_to_peak_C,panel_delta_max_abs_from_mean_C,panel_temperature_gradient_C_per_m,T_center_C,T_upper_right_C,T_upper_left_C,T_lower_right_C,T_lower_left_C
P_0000_0029,0,29,-26.6085,-3.9014999999999986,26.89300977019865,12,0.783,0.3333333333333333,14.653996587430127,48.40530098177317,-4.929738476046542,-6.092028227421338,-2.914280068089454,-4.107027571056699,1.19284216826581,2.737105383409414,1.5443578804421687,3.4956646020554456,-3.1455947521967005,-5.45988429440132,-3.363993289097152,-5.651385451498868,-2.914280068089454
P_0000_0030,0,30,-26.6085,-3.1184999999999974,26.79061989764328,14,0.783,0.42857142857142855,21.760030815105058,57.513928115812256,-4.4557826148367985,-5.90254664401823,-1.079456571766059,-3.887463351648853,1.6000181336657133,4.373599046777599,2.808006779882794,5.585694823470752,-3.6164823941704185,-5.433368066684238,-1.079456571766059,-5.453055618543658,-3.854954107079891
P_0000_0031,0,31,-26.6085,-2.3354999999999997,26.710799922503256,20,0.783,0.5,29.341599265647638,66.71306874654928,-4.058232143627251,-5.766324333578041,-0.9450444360892902,-3.4543287708506796,1.921010172043096,4.291963236502454,2.319245710044072,5.481434529377336,-4.085330148431694,-5.402816936363763,-1.2213674113422712,-5.427046297309062,-1.1350830608066076
P_0000_0032,0,32,-26.6085,-1.5524999999999984,26.653752615719984,16,0.783,0.5,33.48942650581755,72.98498059897291,-3.737041285779476,-5.748708948879425,-0.7257509961873438,-3.103712177239731,2.0148716870473518,4.67125326936582,2.3779611810523873,5.965840701616629,-2.956755245853401,-5.38010728080036,-0.7257509961873438,-5.397004265553164,-1.058943097804388
P_0000_0033,0,33,-26.6085,-0.7695000000000007,26.619624386906736,16,0.783,0.625,46.88586209978159,83.56817829761299,-3.260237048014023,-5.735673088299564,0.1073274374020343,-2.647806240761747,2.3803418547114408,5.6659007541323945,2.910767075968613,7.236144002723364,-1.7882939178050492,-5.55857331673036,0.1073274374020343,-5.374648434757376,-0.6248429719179853
P_0000_0034,0,34,-26.6085,0.013500000000000512,26.60850342465731,21,0.783,0.7619047619047619,61.077540253256615,89.50613311640636,-2.1651332749192447,-5.554656498569386,0.9136420079912,-2.1476409707148036,2.8256239373634013,6.468298506560586,3.4070155278545826,8.260917632899854,-0.7538298723089838,-5.539571560709305,0.9136420079912,-5.554656498569386,0.196211070022457
P_0000_0035,0,35,-26.6085,0.7965000000000018,26.62041856357634,16,0.783,1.0,88.90906203502425,97.88534667607604,-0.9160337081630843,-4.146620262286547,1.4802631508694049,-0.8509257004402343,2.1888541183883397,5.6268834131559515,3.2956945618463123,7.186313426763667,0.1100184553320673,-2.6843489498116355,1.4802631508694049,-4.146620262286547,0.9860591036955384
P_0000_0036,0,36,-26.6085,1.5794999999999995,26.65533891174524,16,0.783,1.0,92.48715642964981,101.61365279225244,0.3457958013214153,-2.6527744736559957,2.206635873537664,0.27292833493136176,1.9532827734739577,4.859410347193659,2.9257028085873573,6.20614348300595,1.4438383625625306,-1.4582614609842608,2.206635873537664,-2.6527744736559957,1.8252033731968709
P_0000_0037,0,37,-26.6085,2.3625000000000007,26.71317424979667,20,0.783,1.0,95.42833757347555,105.5174540670707,1.6489763273185047,-0.3458178338630091,2.758145471354169,1.6758263334553476,1.0987126826776223,3.0718756681191053,2.0216441673183567,3.923212858389662,2.380308275418884,1.4131252922801425,2.726057834256096,-0.3458178338630091,2.205458099184625
P_0000_0038,0,38,-26.6085,3.145500000000002,26.793776189630307,14,0.783,1.0,98.73382740947898,107.92810992822292,2.507526880753159,1.3563691899364585,3.249609256628105,2.509159641034296,0.6853086745970267,1.8932400666916465,1.1527904510978373,2.417931119657275,3.019913530340091,2.1395343724889813,3.249609256628105,1.3563691899364585,2.780371855777844
P_0000_0039,0,39,-26.6085,3.9284999999999997,26.89694005830403,12,0.783,1.0,102.17802907973213,109.52603745067852,3.219514607025824,2.656015366314364,3.608831644260306,3.190125688320893,0.2987208551545638,0.831225925608976,0.5341103220065286,1.061591220445691,3.45517337650773,3.14467097588323,3.48724129192334,2.656015366314364,3.207527430975801
P_0001_0024,1,24,-25.825499999999998,-7.816499999999998,26.982478064477323,8,0.783,1.0,21.057692641084362,30.18684674779264,-5.064242191806549,-5.960699104334367,-3.942451068771504,-5.1372001095065345,0.6597736805194458,2.0182480355628627,1.1947490407350303,2.5775836980368614,-5.2729345226769055,-3.942451068771504,-5.366252681278638,-5.143663170471257,-5.960699104334367
P_0001_0025,1,25,-25.825499999999998,-7.0335,26.766146015069108,17,0.783,0.7058823529411765,19.361978800739173,35.9797633803163,-4.644582227735604,-5.834481644935124,-2.894932682117428,-4.457584689600457,1.1520945039481063,2.939548962817696,1.5626520074830292,3.754213234760787,-4.4269935579768,-2.894932682117428,-5.834481644935124,-3.499328328806598,-5.632187234166338
P_0001_0026,1,26,-25.825499999999998,-6.250499999999999,26.571134723605613,16,0.783,0.375,12.866890537346219,38.46665573020119,-4.1018498698902555,-5.713812905433997,-1.2642986759377663,-3.7336601464861134,1.7160880472500644,4.449514229496231,2.469361470548347,5.682649079816386,-4.242804434553875,-1.2642986759377663,-5.214768025161845,-2.2326166913430825,-5.713812905433997
P_0001_0027,1,27,-25.825499999999998,-5.467499999999998,26.39791670757372,16,0.783,0.0625,2.5247916525294887,40.39666644047182,-3.57314891568306,-5.692314567535675,-0.8828190782663228,-3.14639567371479,1.90973161362606,4.635353154638494,2.3717765591900273,5.919991257520427,-3.1312542648703925,-0.8828190782663228,-5.518172232904817,-1.1657371450723986,-5.033995647460017
P_0001_0028,1,28,-25.825499999999998,-4.6845,26.246923448282466,20,0.783,0.0,0.0,0.0,-3.106825905122025,-5.315343362182773,-0.4468275085137634,-2.7796530032186526,2.055008354913268,4.86851585366901,2.5356903589641204,6.217772482335899,-2.311387886529303,-0.4468275085137634,-5.032377355949166,-0.792328902918257,-5.315343362182773
P_0001_0029,1,29,-25.825499999999998,-3.9014999999999986,26.118540397579647,16,0.783,0.0,0.0,0.0,-2.8318457995619397,-5.020178262756019,-0.1243579604691831,-2.4583252215023434,2.072145741860936,4.895820302286836,2.5618530412536757,6.25264406422329,-2.1007822576904687,-0.1243579604691831,-4.682112269754157,-0.3641953568418898,-5.020178262756019
P_0001_0030,1,30,-25.825499999999998,-3.1184999999999974,26.01310232363683,16,0.783,0.0,0.0,0.0,-2.9427500421194104,-4.667475422419443,-0.0469477119225985,-2.559181938433812,1.8931744599826241,4.6205277104968445,2.5122342265112136,5.9010571015285365,-2.598511211943446,-0.8578332589424917,-4.625142086941082,-0.0469477119225985,-4.667475422419443
P_0001_0031,1,31,-25.825499999999998,-2.3354999999999997,25.93088911896389,20,0.783,0.0,0.0,0.0,-3.079604575092941,-4.900196810468856,-0.6887063399965427,-2.858693377441648,1.634102365272682,4.089721981365074,2.058072158669995,5.223144292931129,-2.4567734714037783,-1.5342104535790213,-4.890343200136726,-0.8006212187716528,-4.611518543317061
P_0001_0032,1,32,-25.825499999999998,-1.5524999999999984,25.87212218779124,16,0.783,0.0,0.0,0.0,-3.4574640056134776,-4.88064048506584,-1.4512645435668787,-3.2924837628134127,1.3727360558548736,3.3882003927122355,1.8000436704598086,4.327203566682293,-3.017007595918756,-2.219925622643302,-4.8524050180855625,-1.492440092353604,-4.88064048506584
P_0001_0033,1,33,-25.825499999999998,-0.7695000000000007,25.836961518336476,16,0.783,0.0,0.0,0.0,-3.796554129077318,-5.116946276256954,-2.12831707450448,-3.6986500891502487,1.1269373012430453,2.921253099482783,1.5096967128758934,3.730846870348382,-3.50747005669325,-2.843345302269711,-5.110206475757138,-2.1889533762743554,-4.8432752347567884
P_0001_0034,1,34,-25.825499999999998,0.013500000000000512,25.82550352848904,20,0.783,0.0,0.0,0.0,-4.19491873920569,-5.328989353558427,-2.775448537535226,-4.120028017945094,0.9681877151460939,2.5086028170736085,1.2996414814602755,3.2038350154196786,-3.965436960875877,-3.381761653136664,-5.328989353558427,-2.8203865364848184,-5.103565585669685
P_0001_0035,1,35,-25.825499999999998,0.7965000000000018,25.837779751751114,16,0.783,0.0,0.0,0.0,-4.584208629175979,-5.3242415038006925,-3.365011403646861,-4.447845835167039,0.7773406791486083,1.9592301001538317,1.0828344315201779,2.502209578740526,-4.366112182014319,-3.873429843304848,-5.310434243068471,-3.365011403646861,-5.3242415038006925
P_0001_0036,1,36,-25.825499999999998,1.5794999999999995,25.873756404897993,16,0.783,0.1875,19.582663392166154,105.36659793388992,-4.593846869259565,-5.518766207780118,-3.774383926505948,-4.431680357037896,0.637470752836313,1.74438228127417,1.0870858507422216,2.22781900545871,-4.705231920991309,-4.2989571542644285,-3.774383926505948,-3.8610625756476793,-5.518766207780118
P_0001_0037,1,37,-25.825499999999998,2.3625000000000007,25.93333485111392,20,0.783,0.4,43.80091482864299,112.97219471600528,-3.782859662997626,-5.284713956139797,-0.0031497555790451,-3.3418226869774004,1.916466084862855,5.000665297962087,3.338672931398355,6.386545718980954,-5.003815053541132,-4.98891983563226,-0.0031497555790451,-4.289858494008229,-2.423370296126336
