rank_by_sigma_total_upper,source_panel_response_name,case_key,snapshot_code,wind_code,equivalent_panel_count,base_surface_rms_mm,active_panel_u_rms_threshold_mm,primary_weighting,selected_local_time,active_panel_count_upper_threshold,active_panel_fraction_upper_threshold,panel_q_abs_mean_W_m2,panel_q_abs_max_W_m2,panel_delta_rms_mean_C,panel_delta_rms_max_C,u_rms_upper_panel_mean_mm,u_rms_upper_panel_p95_mm,u_rms_upper_panel_max_mm,sigma_T_central_min_mm_weighted_mm,sigma_T_central_min_mm_unweighted_mm,sigma_T_central_min_mm_primary_mm,sigma_total_central_min_mm_primary_mm,f10_sigma_T_central_min_mm_GHz,f10_sigma_total_central_min_mm_GHz,eta_R_sigma_T_central_min_mm_4p5_GHz,eta_R_sigma_total_central_min_mm_4p5_GHz,eta_R_sigma_T_central_min_mm_30p0_GHz,eta_R_sigma_total_central_min_mm_30p0_GHz,eta_R_sigma_T_central_min_mm_100p0_GHz,eta_R_sigma_total_central_min_mm_100p0_GHz,sigma_T_central_max_mm_weighted_mm,sigma_T_central_max_mm_unweighted_mm,sigma_T_central_max_mm_primary_mm,sigma_total_central_max_mm_primary_mm,f10_sigma_T_central_max_mm_GHz,f10_sigma_total_central_max_mm_GHz,eta_R_sigma_T_central_max_mm_4p5_GHz,eta_R_sigma_total_central_max_mm_4p5_GHz,eta_R_sigma_T_central_max_mm_30p0_GHz,eta_R_sigma_total_central_max_mm_30p0_GHz,eta_R_sigma_T_central_max_mm_100p0_GHz,eta_R_sigma_total_central_max_mm_100p0_GHz,sigma_T_central_mid_mm_weighted_mm,sigma_T_central_mid_mm_unweighted_mm,sigma_T_central_mid_mm_primary_mm,sigma_total_central_mid_mm_primary_mm,f10_sigma_T_central_mid_mm_GHz,f10_sigma_total_central_mid_mm_GHz,eta_R_sigma_T_central_mid_mm_4p5_GHz,eta_R_sigma_total_central_mid_mm_4p5_GHz,eta_R_sigma_T_central_mid_mm_30p0_GHz,eta_R_sigma_total_central_mid_mm_30p0_GHz,eta_R_sigma_T_central_mid_mm_100p0_GHz,eta_R_sigma_total_central_mid_mm_100p0_GHz,sigma_T_upper_mm_weighted_mm,sigma_T_upper_mm_unweighted_mm,sigma_T_upper_mm_primary_mm,sigma_total_upper_mm_primary_mm,f10_sigma_T_upper_mm_GHz,f10_sigma_total_upper_mm_GHz,eta_R_sigma_T_upper_mm_4p5_GHz,eta_R_sigma_total_upper_mm_4p5_GHz,eta_R_sigma_T_upper_mm_30p0_GHz,eta_R_sigma_total_upper_mm_30p0_GHz,eta_R_sigma_T_upper_mm_100p0_GHz,eta_R_sigma_total_upper_mm_100p0_GHz
1,panel_response_winter_solstice_peak_v00.csv,winter_solstice,peak,v00,3737,0.07,0.001,weighted_by_grid_points,,3388,0.9066095798769066,100.7960649479494,237.46887490717967,0.476020917890794,8.748569806978773,0.076163346862527,0.25855403992823583,1.3997711691166037,0.07285549519961759,0.07179924952918212,0.07285549519961759,0.10103426735905745,106.28879126550142,76.64451600660507,0.999811163053188,0.9996368702101632,0.9916415817325278,0.9839875516477198,0.9109551458190172,0.8358083657751655,0.08742659423954112,0.08615909943501857,0.08742659423954112,0.1119973632739868,88.57399272125117,69.14200741380758,0.9997280860938844,0.9995538077333139,0.9879860449878914,0.9803602303276228,0.8743305846308624,0.8022050486695989,0.08014104471957936,0.07897917448210033,0.08014104471957936,0.10640764563106178,96.62617387772855,72.7741176481439,0.9997715118251086,0.9995972258943144,0.9898952096205098,0.9822546589872807,0.8932877164216717,0.8195983631643704,0.1457109903992352,0.14359849905836428,0.1457109903992352,0.1616530009716059,53.144395632750694,47.903363842760136,0.9992448661421728,0.9990706720192887,0.9669831749646608,0.9595194718999388,0.6886332268039433,0.6318262919476745
2,panel_response_winter_solstice_axis_v00.csv,winter_solstice,axis,v00,3737,0.07,0.001,weighted_by_grid_points,,3298,0.8825260904468826,106.60381031708648,237.4086518486152,0.4469334892222458,7.159910322502883,0.07150935827555929,0.23124711757671398,1.1455856516004612,0.06934536159119224,0.06859187218026679,0.06934536159119224,0.09853313744224934,111.66893277546119,78.59003298616692,0.9998289192948975,0.9996546233565025,0.9924246016859333,0.9847645278264482,0.9189794423555764,0.8431707196797443,0.08321443390943069,0.08231024661632015,0.08321443390943069,0.10874116980641237,93.057443979551,71.2124261271305,0.9997536530572435,0.9995793702396926,0.9891096323057627,0.981475145186319,0.8854424653210643,0.8124002848269357,0.07627989775031147,0.07545105939829347,0.07627989775031147,0.1035307818998677,101.51721161405563,74.79632993892022,0.9997929960655701,0.9996187063895193,0.9908410736090358,0.9831932222821311,0.9028175930581971,0.8283420984121164,0.13869072318238448,0.1371837443605336,0.13869072318238448,0.15535480905608556,55.83446638773059,49.84539950109486,0.9993158527712077,0.9991416462735254,0.9700409910874446,0.9625536861316475,0.7132194614714467,0.6543843517076149
3,panel_response_spring_equinox_peak_v00.csv,spring_equinox,peak,v00,3737,0.07,0.001,weighted_by_grid_points,,3693,0.9882258496119882,126.29983881589926,237.2385815696383,0.5364763486407176,5.781071336685167,0.08583621578251478,0.24095551462655576,0.9249714138696268,0.05818051524535537,0.05795505307947682,0.05818051524535537,0.09102182350521786,133.09821147441775,85.07544920117958,0.9998795706551938,0.9997052658869617,0.9946615627288562,0.9869842227850958,0.9422592191301873,0.8645300942558707,0.06981661829442645,0.0695460636953722,0.06981661829442645,0.09886536395558175,110.91517622868145,78.32593956055223,0.9998265863382049,0.9996522908065042,0.9923216878007458,0.9846624082867056,0.9179211343810159,0.842199713958152,0.06399856676989091,0.06375055838742451,0.06399856676989091,0.09484627851739987,120.99837406765249,81.64498009688681,0.999854282335478,0.9996799819756516,0.9935441167910055,0.9858754019039027,0.9305638521816246,0.8537995049603565,0.11636103049071077,0.1159101061589537,0.11636103049071077,0.1357935544010102,66.54910573720886,57.02570019596811,0.9995183696331519,0.9993441278315632,0.9788166366439737,0.9712615964738204,0.7882819481747579,0.7232547616618928
4,panel_response_summer_solstice_axis_v00.csv,summer_solstice,axis,v00,3737,0.07,0.001,weighted_by_grid_points,,3737,1.0,151.66074625994852,237.0713015678306,0.5614235840109602,4.887763832200238,0.08982777344175358,0.24876814017952129,0.7820422131520381,0.05785737764909971,0.05771833735785242,0.05785737764909971,0.0908156162145616,133.84157451417764,85.2686227831293,0.9998809046024514,0.9997065996016778,0.9947205415878883,0.9870427464131556,0.9428802012705516,0.8650998501547155,0.06942885317891967,0.06926200482942292,0.06942885317891967,0.09859191474831992,111.53464542848134,78.54318015411961,0.9998285071210303,0.9996542112544877,0.9924064186719253,0.9847464851588503,0.9187923778409145,0.8429990865460916,0.06364311541400969,0.06349017109363767,0.06364311541400969,0.09460679753379753,121.67415864925239,81.85165044880111,0.9998558963710634,0.999681595729869,0.9936154014803605,0.9859461363791814,0.9313059656433054,0.8544803997799028,0.11571475529819945,0.11543667471570489,0.11571475529819945,0.1352401737418367,66.9207872570888,57.25904002903071,0.9995237035053309,0.999349460773911,0.9790488146045473,0.9714919823583779,0.7903620260119435,0.7251632491058275
5,panel_response_winter_solstice_evening_v00.csv,winter_solstice,evening,v00,3737,0.07,0.001,weighted_by_grid_points,,3434,0.918918918918919,73.91223198673515,237.75618338733668,0.3695475315134427,9.084490120365242,0.0591276050421508,0.1727630683318439,1.4535184192584387,0.05659335864757922,0.05631561340236804,0.05659335864757922,0.0900155999980755,136.83094106569928,86.02645010400923,0.9998860512560132,0.9997117453580454,0.9949481266686565,0.9872685748682568,0.9452799131729601,0.8673016043164751,0.06791203037709508,0.06757873608284165,0.06791203037709508,0.09752970762767356,114.02578422141605,79.39860284805829,0.9998359179221779,0.9996616207637418,0.9927333952295627,0.9850709379332426,0.9221615674397302,0.8460903439647443,0.06225269451233714,0.061947174742604846,0.06225269451233714,0.09367709418020166,124.39176460518115,82.6639915508129,0.9998621236694828,0.9996878219427098,0.9938904800893729,0.9862190917815958,0.9341747394669222,0.8571125218687901,0.11318671729515847,0.1126312268047361,0.11318671729515847,0.13308355635484848,68.41547053284961,58.18692206548309,0.9995442829240322,0.9993700366050894,0.9799451201468966,0.972381369726144,0.7984389550900264,0.7325738937728212
6,panel_response_spring_equinox_axis_v00.csv,spring_equinox,axis,v00,3737,0.07,0.001,weighted_by_grid_points,,3654,0.9777896708589778,134.5215226617983,237.19508927200363,0.511743541902093,4.49410457872225,0.08187896670433487,0.2376794391369639,0.71905673259556,0.05633705865886856,0.0558170952834644,0.05633705865886856,0.08985468367499158,137.4534401717098,86.18051063232592,0.9998870809628665,0.9997127748853943,0.9949936664277813,0.9873137631267055,0.945760762162322,0.8677427869694605,0.06760447039064228,0.06698051434015728,0.06760447039064228,0.0973157973650693,114.5445334764248,79.57312925019961,0.9998374006260375,0.9996631032091279,0.9927988271681212,0.9851358648324448,0.922837131260747,0.8467101789761741,0.06197076452475542,0.06139880481181085,0.06197076452475542,0.0934899762315869,124.95767288337254,82.82944155033991,0.9998633695850943,0.9996890676411261,0.9939455248869217,0.9862737117134027,0.9347497621289025,0.8576401095920707,0.11267411731773715,0.11163419056692885,0.11267411731773715,0.13264786735312104,68.72672008585488,58.37804011731588,0.9995484003499608,0.9993741533132445,0.9801245446918365,0.9725594093746756,0.800064808368988,0.7340656266844976
7,panel_response_summer_solstice_peak_v00.csv,summer_solstice,peak,v00,3737,0.07,0.001,weighted_by_grid_points,,3737,1.0,147.71889677079423,237.18543744064755,0.520562295943148,4.54401563525408,0.08328996735090365,0.2379315894955689,0.7270425016406529,0.05483889033473444,0.05460012159312391,0.05483889033473444,0.0889230222897593,141.2085925617662,87.08343826398138,0.9998930064907962,0.9997186993803517,0.9952557681040173,0.987573841759382,0.9485325929107197,0.8702859630398265,0.06580666840168134,0.0655201459117487,0.06580666840168134,0.09607558277798187,117.67382713480515,80.60031797789483,0.9998459329734221,0.9996716340691044,0.9931754428470071,0.9855095735862988,0.9267343317440772,0.8502858904500269,0.060322779368207895,0.060060133752436316,0.060322779368207895,0.09240583158386427,128.3714477834238,83.80123190373506,0.9998705393083233,0.9996962361144877,0.9942623425939098,0.9865880840486906,0.9380656487556557,0.8606824611231229,0.10967778066946891,0.10920024318624787,0.10967778066946891,0.13011231906541412,70.60429628088309,59.51567520615576,0.9995720946439515,0.9993978434767095,0.981157692212683,0.9735845824999821,0.8094854254154323,0.7427091154164298
8,panel_response_winter_solstice_axis_v02.csv,winter_solstice,axis,v02,3737,0.07,0.001,weighted_by_grid_points,,3276,0.8766390152528767,106.60381031708648,237.4086518486152,0.28038697607351,5.5054626408046605,0.04486191617176155,0.1531952323300083,0.8808740225287457,0.0486652397391825,0.04841536385020832,0.0486652397391825,0.0852543580051607,159.12225159721316,90.83081150347932,0.9999157397416133,0.9997414286681777,0.9962619458293801,0.9885722532567826,0.959242127064848,0.8801120431499811,0.058398287687019004,0.058098436620249994,0.058398287687019004,0.09116117597297567,132.60187633101097,84.94539960862821,0.9998786674771725,0.9997043628663875,0.9946216317495291,0.986944600014826,0.9418390014018129,0.8641445412520435,0.053531763713100755,0.05325690023522916,0.053531763713100755,0.08812292395418601,144.65659236110287,87.87409875145265,0.9998980459894006,0.9997237380004418,0.9954787314798529,0.9877950841823876,0.9508963372677868,0.8724547167015825,0.09733047947836503,0.09683072770041667,0.09733047947836503,0.11988837406307767,79.56112579860657,64.59110470330208,0.9996630015628073,0.9994887345481474,0.9851314128786055,0.9775276318244785,0.8466676644961724,0.7768241062857048
9,panel_response_winter_solstice_peak_v02.csv,winter_solstice,peak,v02,3737,0.07,0.001,weighted_by_grid_points,,3315,0.8870751940058871,105.10607364007144,237.40357071688223,0.28265505442323613,5.437432059351814,0.04522480870771774,0.1575407191390049,0.8699891294962904,0.04809906403881993,0.04784145155948621,0.04809906403881993,0.08493244351489307,160.99528497201254,91.1750822341408,0.9999176888391828,0.9997433774259691,0.9963482595004195,0.9886579007118755,0.960165935684128,0.880959644676701,0.057718876846583916,0.05740974187138345,0.057718876846583916,0.09072744206926106,134.1627374766771,85.35149173394925,0.9998814740748164,0.9997071689747692,0.9947457211585509,0.9870677316341712,0.9431454277127459,0.8653431974591665,0.05290897044270192,0.05262559671543483,0.05290897044270192,0.08774599223501155,146.35934997455684,88.25158077962985,0.9999004043562096,0.9997260959561267,0.9955830898656596,0.9878986370733065,0.952004532339632,0.8734714942193452,0.09619812807763987,0.09568290311897243,0.09619812807763987,0.11897092016808983,80.49764248600626,65.08920424315507,0.9996707960052633,0.9994965276318313,0.9854728546446768,0.9778664381569437,0.8499339493668842,0.779820947823376
10,panel_response_summer_solstice_axis_v02.csv,summer_solstice,axis,v02,3737,0.07,0.001,weighted_by_grid_points,,3737,1.0,151.66074625994852,237.0713015678306,0.37045091556706883,4.539810126374903,0.05927214649073096,0.18659261242198716,0.7263696202199844,0.042671085151367416,0.04246330542153121,0.042671085151367416,0.08198061666025237,181.47470340507016,94.45796869165751,0.999935217656166,0.9997609031872281,0.9971248326865761,0.9894284798830177,0.9685140229641998,0.8886190790834653,0.051205302181640905,0.05095596650583746,0.051205302181640905,0.08672936625799338,151.2289195042251,89.28604988051781,0.9999067147544263,0.9997324052542783,0.995862379330569,0.9881757708299377,0.9549761269737463,0.8761979551941634,0.04693819366650417,0.04670963596368433,0.04693819366650417,0.08428044865017184,164.97700309551828,91.88041409175752,0.9999216138971674,0.999747301799715,0.9965220986168586,0.988830398043287,0.962028980226654,0.8826690024004064,0.08534217030273487,0.08492661084306245,0.08534217030273487,0.11037792366221157,90.73735170253502,70.15644310826981,0.9997408958040891,0.9995666152104561,0.9885488352658385,0.9809186766835337,0.8798804185613398,0.8072970640657964
