rank,case_key,case_label,time_code,selected_local_time,wind_speed_m_s,air_temperature_C,sky_temperature_C,convection_h_W_m2_K,q_abs_max_W_m2,q_abs_mean_all_W_m2,surface_temperature_max_C,surface_temperature_mean_C,deltaT_air_max_C,deltaT_air_mean_C,deltaT_air_mean_visible_C,deltaT_aperture_mean_min_C,deltaT_aperture_mean_max_C,max_abs_thermal_balance_residual_W_m2
1,winter_solstice,Winter solstice,morning,2026-12-22 09:24:00 Asia/Yerevan,0.0,-5.0,-18.0,5.0,237.7649678703386,73.76100987124427,28.72054271475497,3.90494297110615,33.72054271475497,8.904942971106149,15.384760758391495,-11.424168547878365,24.81559974364882,3.979039320256561e-13
2,winter_solstice,Winter solstice,evening,2026-12-22 16:40:00 Asia/Yerevan,0.0,-5.0,-18.0,5.0,237.64375573299333,73.88937206676226,28.702903180044014,3.924710322769261,33.70290318004402,8.924710322769261,15.396670172918652,-11.443935899541476,24.77819285727476,3.979039320256561e-13
3,winter_solstice,Winter solstice,axis,2026-12-22 13:02:00 Asia/Yerevan,0.0,-5.0,-18.0,5.0,237.42999777423765,99.91224566694264,28.671793756592933,7.918093223182559,33.67179375659293,12.91809322318256,17.907308873981446,-15.437318799954774,20.75370053341037,3.979039320256561e-13
4,spring_equinox,Spring equinox,evening,2026-03-20 18:09:00 Asia/Yerevan,0.0,18.0,5.0,5.0,237.81145675266828,67.51494650799361,49.19490788102053,24.828007236510047,31.194907881020526,6.82800723651005,13.324096124104743,-9.896173402296398,24.36690064451048,4.547473508864641e-13
5,spring_equinox,Spring equinox,morning,2026-03-20 08:13:00 Asia/Yerevan,0.0,18.0,5.0,5.0,237.8088524421911,67.49548848360463,49.194550099595176,24.82516981822564,31.194550099595176,6.825169818225638,13.323622229432951,-9.893335984011989,24.36938028136954,4.547473508864641e-13
6,spring_equinox,Spring equinox,axis,2026-03-20 13:11:00 Asia/Yerevan,0.0,18.0,5.0,5.0,237.1977021935532,128.87734005299205,49.11057966951262,33.733591373365634,31.110579669512617,15.73359137336564,18.55659355502164,-18.801757539151986,15.376988296146983,4.547473508864641e-13
7,summer_solstice,Summer solstice,evening,2026-06-22 18:52:00 Asia/Yerevan,0.0,32.0,18.0,5.0,237.8066590799308,65.20594304493108,61.392852658563584,37.56214620289702,29.392852658563584,5.562146202897023,11.977217494812198,-9.22385017802346,23.830706455666565,4.547473508864641e-13
8,summer_solstice,Summer solstice,morning,2026-06-22 07:18:00 Asia/Yerevan,0.0,32.0,18.0,5.0,237.8011684366671,65.37122004879599,61.39212519861337,37.58537769361051,29.39212519861337,5.585377693610504,11.991820726654348,-9.247081668736952,23.80674750500286,4.547473508864641e-13
9,summer_solstice,Summer solstice,axis,2026-06-22 13:05:00 Asia/Yerevan,0.0,32.0,18.0,5.0,237.05330025680263,148.93024911600926,61.2930245438082,49.2909031614396,29.2930245438082,17.290903161439605,18.41252762444621,-20.952607136566044,12.0021213823686,4.547473508864641e-13
10,winter_solstice,Winter solstice,morning,2026-12-22 09:24:00 Asia/Yerevan,2.0,-5.0,-18.0,10.65685424949238,237.7649678703386,73.76100987124427,13.3251978155306,-0.2020061311069405,18.3251978155306,4.79799386889306,8.271406019390117,-6.123759517032796,13.527203946637542,7.389644451905042e-13
