case_key,case_label,time_index,local_time,wind_speed_m_s,air_temperature_C,sky_temperature_C,areal_heat_capacity_J_m2_K,visible_points,q_abs_max_W_m2,q_abs_mean_all_W_m2,q_abs_mean_visible_W_m2,surface_temperature_min_C,surface_temperature_mean_C,surface_temperature_max_C,surface_temperature_mean_visible_C,deltaT_air_min_C,deltaT_air_mean_C,deltaT_air_max_C,dT_dt_min_K_s,dT_dt_mean_K_s,dT_dt_max_K_s,net_flux_min_W_m2,net_flux_mean_W_m2,net_flux_max_W_m2,wind_code,daily_peak_local_time
spring_equinox,Spring equinox,87,2026-03-20T14:30:00+04:00,0.0,18.0,5.0,36450.0,61901,237.2385815696383,126.44292571774305,144.36117169755022,14.931833834213649,33.5701304538162,46.745560058335116,34.911804964128955,-3.0681661657863515,15.570130453816192,28.745560058335116,-0.005750552724020285,-2.4276691795982983e-05,0.005285842627575004,-209.60764679053938,-0.8848854159635798,192.6689637751089,v00,2026-03-20T14:30:00+04:00
spring_equinox,Spring equinox,70,2026-03-20T11:40:00+04:00,2.0,18.0,5.0,36450.0,61281,237.26516645929766,124.20610327614382,143.24208052797624,16.343400888813903,25.601104885602627,34.755774673328744,26.523414587322332,-1.6565991111860967,7.601104885602626,16.755774673328744,-0.0062992961093529835,0.0003190289485378089,0.005797053301706945,-229.60934318591626,11.628605174203134,211.30259284721814,v02,2026-03-20T11:40:00+04:00
spring_equinox,Spring equinox,65,2026-03-20T10:50:00+04:00,5.0,18.0,5.0,36450.0,58154,237.37063243345855,113.06513886765323,137.40503764476486,16.692541334043312,23.395231015987903,31.495636762796096,24.495144716467333,-1.3074586659566876,5.395231015987904,13.495636762796096,-0.006388132886267895,0.0002929221021960379,0.005999397401308836,-232.84744370446478,10.67701062504558,218.67803527770707,v05,2026-03-20T10:50:00+04:00
spring_equinox,Spring equinox,64,2026-03-20T10:40:00+04:00,10.0,18.0,5.0,36450.0,57418,237.36707211715893,110.53533937316959,136.05252777038586,16.943416557346836,22.33832084503369,29.03176238574906,23.35260355187057,-1.0565834426531637,4.338320845033687,11.031762385749062,-0.006437661162820788,0.00024090699586548037,0.006155208106578052,-234.65274938481772,8.781059999296758,224.35733548476998,v10,2026-03-20T10:40:00+04:00
summer_solstice,Summer solstice,74,2026-06-22T12:20:00+04:00,0.0,32.0,18.0,36450.0,67396,237.18543744064755,147.6286420362855,154.8067988994956,28.338296024873557,46.744749172200486,59.23639518410022,46.805930483742756,-3.661703975126443,14.744749172200487,27.236395184100218,-0.0060733824099790425,0.000540191854606303,0.0050870696122300215,-221.3747888437361,19.689993100399747,185.42368736578428,v00,2026-06-22T12:20:00+04:00
summer_solstice,Summer solstice,65,2026-06-22T10:50:00+04:00,2.0,32.0,18.0,36450.0,62512,237.23412633893673,128.73611741112114,145.54273780707967,29.990514252964203,39.30879010654478,48.19395903960526,40.05521126835221,-2.0094857470357965,7.308790106544786,16.19395903960526,-0.006350169418098773,0.0003695193223962685,0.006077068089336165,-231.46367528970026,13.468979301343987,221.5091318563032,v02,2026-06-22T10:50:00+04:00
summer_solstice,Summer solstice,65,2026-06-22T10:50:00+04:00,5.0,32.0,18.0,36450.0,62512,237.23412633893673,128.73611741112114,145.54273780707967,30.407463741033098,37.992987459418984,45.04666643259708,38.658932283237796,-1.592536258966902,5.992987459418983,13.046666432597078,-0.006416279098468434,0.00028991252024003006,0.006262484878778988,-233.87337313917442,10.567311362749095,228.26757383149413,v05,2026-06-22T10:50:00+04:00
summer_solstice,Summer solstice,57,2026-06-22T09:30:00+04:00,10.0,32.0,18.0,36450.0,56086,237.4360002441103,106.0751945516744,133.66352074582755,30.709177027331293,35.793859646063375,42.68024195017591,36.92843884306184,-1.2908229726687068,3.7938596460633773,10.680241950175912,-0.006459123324278577,0.00025297636031720026,0.0062791503773954,-235.43504516995412,9.22098833356195,228.87503125606233,v10,2026-06-22T09:30:00+04:00
winter_solstice,Winter solstice,86,2026-12-22T14:20:00+04:00,0.0,-5.0,-18.0,36450.0,54491,237.46887490717978,100.89053894014187,130.85164629969438,-7.5192255767722145,8.017042631177976,26.378039835518564,11.529162154414689,-2.5192255767722145,13.017042631177976,31.378039835518564,-0.00570982807024979,2.1405739111163327e-05,0.005414557095605526,-208.12323316060483,0.7802391906019035,197.3606061348214,v00,2026-12-22T14:20:00+04:00
winter_solstice,Winter solstice,82,2026-12-22T13:40:00+04:00,2.0,-5.0,-18.0,36450.0,55771,237.40357071688226,105.02934930346123,133.09317034522448,-6.325765648139736,2.3630886869762366,12.809152038663001,4.337407391317196,-1.3257656481397362,7.363088686976237,17.809152038663,-0.006262141739914599,1.2111953981749824e-05,0.005985851975582873,-228.25506641988713,0.441480722634781,218.1843045099957,v02,2026-12-22T13:40:00+04:00
